81	e11	e16	C
81	e65	e67	C
81	e78	e80	C
81	e130	e132	C
81	e153	e163	C
81	e327	e332	C
81	e328	e329	C
81	e341	e345	C
81	e342	e346	C
81	e343	e353	C
81	e344	e341	C
81	e344	e342	C
81	e344	e343	C
81	e345	e351	C
81	e346	e352	C
81	e347	e343	C
81	e359	e372	C
81	e360	e373	C
81	e364	e367	C
81	e366	e368	C
81	e374	e371	C
81	e374	e372	C
81	e374	e373	C
81	e386	e392	C
81	e388	e399	C
81	e389	e400	C
81	e390	e401	C
81	e398	e394	C
81	e341	e351	C
81	e342	e352	C
81	e344	e345	C
81	e344	e346	C
81	e344	e353	C
81	e347	e353	C
81	e344	e351	C
81	e344	e352	C
81	e3	e244	NC
81	e21	e397	NC
81	e48	e26	NC
81	e64	e396	NC
81	e65	e275	NC
81	e81	e137	NC
81	e93	e178	NC
81	e110	e182	NC
81	e110	e265	NC
81	e114	e117	NC
81	e119	e227	NC
81	e126	e119	NC
81	e155	e46	NC
81	e163	e394	NC
81	e165	e102	NC
81	e177	e158	NC
81	e192	e402	NC
81	e201	e74	NC
81	e207	e76	NC
81	e228	e331	NC
81	e237	e394	NC
81	e256	e157	NC
81	e286	e364	NC
81	e288	e156	NC
81	e291	e262	NC
81	e303	e15	NC
81	e309	e334	NC
81	e344	e31	NC
81	e348	e47	NC
81	e351	e305	NC
81	e358	e402	NC
81	e359	e173	NC
81	e372	e294	NC
81	e380	e318	NC
81	e383	e65	NC
81	e393	e20	NC
82	e58	e61	C
82	e85	e88	C
82	e89	e97	C
82	e92	e96	C
82	e97	e103	C
82	e114	e116	C
82	e118	e123	C
82	e119	e122	C
82	e126	e127	C
82	e128	e130	C
82	e130	e137	C
82	e137	e143	C
82	e143	e150	C
82	e155	e152	C
82	e159	e162	C
82	e168	e177	C
82	e184	e187	C
82	e186	e188	C
82	e197	e199	C
82	e256	e343	C
82	e257	e344	C
82	e258	e345	C
82	e259	e346	C
82	e260	e347	C
82	e89	e103	C
82	e128	e137	C
82	e130	e143	C
